m_Ap [eV],\epsilon
1.933891750455232e-11,2.0
2.1461411978584104e-11,2.0
2.3816855519761606e-11,2.0
2.643081486974103e-11,2.0
2.933166278390048e-11,2.0
3.2550885998350564e-11,2.0
3.612342699709438e-11,2.0
4.0088063288984646e-11,2.0
4.448782831127576e-11,2.0
4.9370478528390036e-11,2.0
5.478901179593956e-11,2.0
6.080224261649427e-11,2.0
6.747544053110686e-11,2.0
7.48810385759003e-11,2.0
8.309941949353421e-11,2.0
9.221978823334341e-11,2.0
1.0234114021054527e-10,2.0
1.1357333583431028e-10,2.0
1.2603829296797273e-10,2.0
1.3987131026472416e-10,2.0
1.552225357427048e-10,2.0
1.722585965398784e-10,2.0
1.9116440753857038e-10,2.0
2.1214517849106364e-10,2.0
2.35428641432242e-10,2.0
2.6126752255633265e-10,2.0
2.899422853882881e-10,2.0
3.217641750250735e-10,2.0
3.57078596490047e-10,2.0
3.9626886387014783e-10,2.0
4.3976036093027124e-10,2.0
4.880251583654433e-10,2.0
5.415871378079487e-10,2.0
6.010276782070388e-10,2.0
6.669919663030115e-10,2.0
7.401959996915652e-10,2.0
8.214343584919455e-10,2.0
9.115888299750837e-10,2.0
1.011637979766207e-09,2.0
1.122667773510816e-09,2.0
1.245883364295008e-09,2.0
1.3826221737646593e-09,2.0
1.5343684089300132e-09,2.0
1.7027691722258979e-09,2.0
1.8896523396912115e-09,2.0
2.0970464013232305e-09,2.0
2.327202478960412e-09,2.0
2.582618760682675e-09,2.0
2.866067616948256e-09,2.0
3.180625692794119e-09,2.0
3.5297073027306574e-09,2.0
3.9171014908092604e-09,2.0
4.347013158125035e-09,2.0
4.824108704165374e-09,2.0
5.3535666774107186e-09,2.0
5.94113398496504e-09,2.0
6.593188271333542e-09,2.0
7.316807143427207e-09,2.0
8.119844993184008e-09,2.0
9.011018251665037e-09,2.0
1e-08,2.0
