m_Ap [eV],\epsilon
2.537490379733572e-13,2.467013985892403e-07
2.5966559729348723e-13,2.456311218421235e-07
2.6572011053245066e-13,2.4462051009645686e-07
2.719157943036019e-13,2.436610077462265e-07
2.782559402207126e-13,2.4258175554778336e-07
2.8474391664672476e-13,2.415286331097733e-07
2.9138317048327885e-13,2.405358164614015e-07
2.981772290019673e-13,2.396018352120406e-07
3.051297017182871e-13,2.387043107036334e-07
3.122442823092858e-13,2.3787716557607309e-07
3.1952475057592137e-13,2.369675563605941e-07
3.269749744511768e-13,2.3614498183485085e-07
3.3459891205499747e-13,2.3536473378822957e-07
3.424006137971426e-13,2.3466449333731468e-07
3.503842245290676e-13,2.3457521975801092e-07
3.585539857459817e-13,2.332482008088266e-07
3.669142378402494e-13,2.326436902401668e-07
3.7546942240733367e-13,2.3209735903812286e-07
3.842240846055061e-13,2.3127485986068842e-07
3.93182875570577e-13,2.3108114302453777e-07
4.023505548869293e-13,2.3044159991000084e-07
4.117319931161679e-13,2.302756300372088e-07
4.213321743847289e-13,2.2988533318299357e-07
4.3115619903182284e-13,2.2945401684177874e-07
4.41209286319119e-13,2.2817020922106567e-07
4.5149677720361016e-13,2.2783821122018108e-07
4.620241371751313e-13,2.2748963850783243e-07
4.727969591600391e-13,2.2710744894777127e-07
4.838209664925957e-13,2.2653772460150244e-07
4.951020159556351e-13,2.259751814405546e-07
5.066461008921268e-13,2.2669509125119682e-07
5.184593543892913e-13,2.267222622580134e-07
5.305480525369575e-13,2.2634172393562185e-07
5.429186177618943e-13,2.264406722931914e-07
5.555776222398878e-13,2.2632800931588563e-07
5.685317913873753e-13,2.2625936829594328e-07
5.817880074344935e-13,2.2590772686876736e-07
5.95353313081437e-13,2.259584290883888e-07
6.092349152400711e-13,2.2599102145914424e-07
6.234401888627863e-13,2.260128795897178e-07
6.379766808606282e-13,2.2612294187513625e-07
6.528521141127847e-13,2.2619352323429231e-07
6.680743915695615e-13,2.2590202684510052e-07
6.836516004510239e-13,2.268365138467283e-07
6.995920165435374e-13,2.2706500362802645e-07
7.159041085964888e-13,2.274032611944044e-07
7.32596542821523e-13,2.2766175550953092e-07
7.496781874966877e-13,2.280195133515572e-07
7.671581176779303e-13,2.2831783320822878e-07
7.850456200204509e-13,2.2847151762681127e-07
8.033501977124734e-13,2.2997563907577282e-07
8.220815755240541e-13,2.3058651639996712e-07
8.412497049736119e-13,2.312702974053427e-07
8.608647696149245e-13,2.3189286276898585e-07
8.809371904473991e-13,2.3253005317733692e-07
9.014776314524917e-13,2.3323935532071431e-07
9.224970052592174e-13,2.3403170232589356e-07
9.440064789417603e-13,2.349323091083012e-07
9.660174799522646e-13,2.3606913858479024e-07
9.885417021919573e-13,2.3638024727422588e-07
1.0115911122238297e-12,2.373623764164227e-07
1.0351779556301762e-12,2.3843541458414134e-07
1.05931476351837e-12,2.39606756117737e-07
1.0840143591783309e-12,2.408844307932723e-07
1.1092898648952228e-12,2.4227779800381226e-07
1.135154708920999e-12,2.437747215571082e-07
1.161622632608502e-12,2.4506222984238796e-07
1.1887076977119033e-12,2.464635269400627e-07
1.216424293857368e-12,2.4811310711680506e-07
1.2447871461879062e-12,2.4978701956676356e-07
1.2738113231864786e-12,2.5157245419384087e-07
1.303512244681509e-12,2.53552399570865e-07
1.3339056900390586e-12,2.5571515696863805e-07
1.3650078065460137e-12,2.578080571131688e-07
1.3968351179887397e-12,2.5999216874980136e-07
1.4294045334317611e-12,2.623873515887975e-07
1.4627333562011298e-12,2.648379416944072e-07
1.4968392930772555e-12,2.677197570867778e-07
1.5317404637020798e-12,2.707090858321272e-07
1.567455410205595e-12,2.736693281366753e-07
1.60400310705682e-12,2.7694830094886894e-07
1.6414029711444665e-12,2.8082801873853445e-07
1.6796748720926532e-12,2.8472729420131756e-07
1.7188391428171455e-12,2.885770385136527e-07
1.7589165903277327e-12,2.9316383452261086e-07
1.7999285067824764e-12,2.983483797213625e-07
1.8418966807997108e-12,3.030336976206383e-07
1.8848434090337956e-12,3.0825926621794763e-07
1.9287915080207778e-12,3.1410342828444794e-07
1.9737643263002556e-12,3.1969339092085514e-07
2.0197857568198786e-12,3.26136503224595e-07
2.066880249629082e-12,3.3276448542086625e-07
2.1150728248687947e-12,3.3928470787826526e-07
2.1643890860640202e-12,3.4743412276598863e-07
2.2148552337263594e-12,3.550978313990405e-07
2.2664980792736926e-12,3.647857398965399e-07
2.3193450592744276e-12,3.7419269338375756e-07
2.373424250023866e-12,3.85311570334457e-07
2.4287643824604505e-12,3.961424266657694e-07
2.4853948574297986e-12,4.095446100525753e-07
2.543345761304648e-12,4.2479794197684746e-07
2.6026478819690043e-12,4.41577719282189e-07
2.6633327251749807e-12,4.598019643733304e-07
2.725432531281028e-12,4.831987019419843e-07
2.7889802923804394e-12,5.102192043336547e-07
2.8540097698292376e-12,5.424092013826886e-07
2.920555512182745e-12,5.838601162331474e-07
2.9886528735503828e-12,6.329311809223014e-07
3.058338032378432e-12,6.961634595822006e-07
3.1296480106707504e-12,7.895989999145632e-07
3.2026206936576503e-12,9.216649058464621e-07
3.277294849923382e-12,1.15047042693949e-06
3.353710152002929e-12,1.7094168029903624e-06
3.4319071974590426e-12,2.1954383290039122e-06
3.5119275304507278e-12,2.1927887382654495e-06
3.5938136638046255e-12,2.189834497626523e-06
3.677609101601031e-12,2.1867545501139984e-06
3.763358362286533e-12,2.183509494263321e-06
3.851107002325569e-12,2.179947945658786e-06
3.940901640403448e-12,2.175971254477952e-06
4.032789982193706e-12,2.1721899405590935e-06
4.1268208457029515e-12,2.1681909770526406e-06
4.2230441872066725e-12,2.1640877925820314e-06
4.321511127789762e-12,2.159744500238952e-06
4.422273980505897e-12,2.154348051616316e-06
4.525386278170167e-12,2.14894066984499e-06
4.630902801799737e-12,2.1438217991460515e-06
4.7388796097176515e-12,2.1383928619939622e-06
4.849374067335233e-12,2.1325617740923285e-06
4.962444877628913e-12,2.127039094869076e-06
5.07815211232767e-12,2.1211800552243344e-06
5.196557243827658e-12,2.1152086645208327e-06
5.317723177850967e-12,2.109569227160313e-06
5.441714286865888e-12,2.1034977756472864e-06
5.568596444286409e-12,2.0971995660259153e-06
5.698437059469136e-12,2.0908694025367313e-06
5.831305113526219e-12,2.0847322273121975e-06
5.96727119597331e-12,2.077900318551345e-06
6.106407542232037e-12,2.0715038124195298e-06
6.248788072006888e-12,2.0650174843744665e-06
6.394488428556937e-12,2.0579909363581253e-06
6.543586018883229e-12,2.051541526071624e-06
6.696160054853216e-12,2.042820928374424e-06
6.852291595284057e-12,2.0350343802035193e-06
7.012063589007177e-12,2.026985563929196e-06
7.1755609189369215e-12,2.0184395306165642e-06
7.342870447166758e-12,2.0102186508625416e-06
7.514081061116962e-12,2.00185820420693e-06
7.689283720758306e-12,1.9934762108598997e-06
7.868571506936844e-12,1.984849266458656e-06
8.05203967082547e-12,1.9766440857306354e-06
8.239785684528512e-12,1.967828285266511e-06
8.431909292866251e-12,1.9588653790648843e-06
8.628512566366887e-12,1.949615358256097e-06
8.829699955494083e-12,1.9394053795271126e-06
9.03557834613892e-12,1.929166203916644e-06
9.246257116405733e-12,1.918912497150225e-06
9.461848194721993e-12,1.908913088684788e-06
9.682466119303114e-12,1.8982226764153409e-06
9.908228099003788e-12,1.888085091950898e-06
1.0139254075588143e-11,1.8778700542401182e-06
1.037566678745185e-11,1.8669927877685427e-06
1.0617591834829991e-11,1.856674468255325e-06
1.0865157746525373e-11,1.8448627506525674e-06
1.1118496048192698e-11,1.8324169232940673e-06
1.1377741332214903e-11,1.8202442259895396e-06
1.1643031329208755e-11,1.8088744527432244e-06
1.1914506981197748e-11,1.7969478300660605e-06
1.2192312516491095e-11,1.7848453756227278e-06
1.2476595526308684e-11,1.7730225062900316e-06
1.2767507043192645e-11,1.7611964942797728e-06
1.30652016212472e-11,1.7477832535802095e-06
1.3369837418249452e-11,1.73393054576617e-06
1.3681576279674706e-11,1.720399662445183e-06
